Variable;Type;Scale
actvsubs;Categorical;Metric
adults;Categorical;Ordinal
age1;Continuous;Metric
age2;Continuous;Metric
area;Categorical;Nominal
asl_flag;Categorical;Binary
car_buy;Categorical;Binary
cartype;Categorical;Nominal
children;Categorical;Binary
churn;Categorical;Binary
crclscod;Categorical;Ordinal
creditcd;Categorical;Binary
crtcount;Categorical;Metric
csa;Categorical;Nominal
Customer_ID;Categorical;Nominal
div_type;Categorical;Nominal
dualband;Categorical;Nominal
dwllsize;Categorical;Ordinal
dwlltype;Categorical;Binary
educ1;Categorical;Ordinal
ethnic;Categorical;Nominal
forgntvl;Categorical;Binary
hnd_price;Categorical;Ordinal/Metric
HHstatin;Categorical;Nominal
hnd_webcap;Categorical;Nominal
income;Categorical;Ordinal
infobase;Categorical;Binary
kid0_2;Categorical;Binary
kid3_5;Categorical;Binary
kid6_10;Categorical;Binary
kid11_15;Categorical;Binary
kid16_17;Categorical;Binary
last_swap;Categorical;Ordinal/Metric
lor;Categorical;Ordinal
mailflag;Categorical;Binary
mailordr;Categorical;Binary
mailresp;Categorical;Binary
marital;Categorical;Nominal
models;Categorical;Metric
mtrcycle;Categorical;Binary
new_cell;Categorical;Binary
numbcars;Categorical;Metric
occu1;Categorical;Nominal
ownrent;Categorical;Binary
pcowner;Categorical;Binary
phones;Categorical;Metric
pre_hnd_price;Categorical;Metric/Ordina
prizm_social_one;Categorical;Nominal
proptype;Categorical;Nominal/Ordinal
REF_QTY;Categorical;Metric
refurb_new;Categorical;Binary
rv;Categorical;Binary
solflag;Categorical;Binary
tot_acpt;Categorical;Binary
tot_ret;Categorical;Metric
truck;Categorical;Binary
uniqsubs;Categorical;Metric
wrkwoman;Categorical;Binary
adjmou;Continuous;
adjqty;Continuous;
adjrev;Continuous;
attempt_Mean;Continuous;
attempt_Range;Continuous;
avg3mou;Continuous;
avg3qty;Continuous;
avg3rev;Continuous;
avg6mou;Continuous;
avg6qty;Continuous;
avg6rev;Continuous;
avgmou;Continuous;
avgqty;Continuous;
avgrev;Continuous;
blck_dat_Mean;Continuous;
blck_dat_Range;Continuous;
blck_vce_Mean;Continuous;
blck_vce_Range;Continuous;
callfwdv_Mean;Continuous;
callfwdv_Range;Continuous;
callwait_Mean;Continuous;
callwait_Range;Continuous;
cc_mou_Mean;Continuous;
cc_mou_Range;Continuous;
ccrndmou_Mean;Continuous;
ccrndmou_Range;Continuous;
change_mou;Continuous;
change_rev;Continuous;
comp_dat_Mean;Continuous;
comp_dat_Range;Continuous;
comp_vce_Mean;Continuous;
comp_vce_Range;Continuous;
complete_Mean;Continuous;
complete_Range;Continuous;
custcare_Mean;Continuous;
custcare_Range;Continuous;
da_Mean;Continuous;
da_Range;Continuous;
datovr_Mean;Continuous;
datovr_Range;Continuous;
drop_blk_Mean;Continuous;
drop_blk_Range;Continuous;
drop_dat_Mean;Continuous;
drop_dat_Range;Continuous;
drop_vce_Mean;Continuous;
drop_vce_Range;Continuous;
eqpdays;Continuous;
inonemin_Mean;Continuous;
inonemin_Range;Continuous;
iwylis_vce_Mean;Continuous;
iwylis_vce_Range;Continuous;
months;Continuous;
mou_cdat_Mean;Continuous;
mou_cdat_Range;Continuous;
mou_cvce_Mean;Continuous;
mou_cvce_Range;Continuous;
mou_Mean;Continuous;
mou_opkd_Mean;Continuous;
mou_opkd_Range;Continuous;
mou_opkv_Mean;Continuous;
mou_opkv_Range;Continuous;
mou_pead_Mean;Continuous;
mou_pead_Range;Continuous;
mou_peav_Mean;Continuous;
mou_peav_Range;Continuous;
mou_Range;Continuous;
mou_rvce_Mean;Continuous;
mou_rvce_Range;Continuous;
mouiwylisv_Mean;Continuous;
mouiwylisv_Range;Continuous;
mouowylisv_Mean;Continuous;
mouowylisv_Range;Continuous;
owylis_vce_Mean;Continuous;
owylis_vce_Range;Continuous;
opk_dat_Mean;Continuous;
opk_dat_Range;Continuous;
opk_vce_Mean;Continuous;
opk_vce_Range;Continuous;
ovrmou_Mean;Continuous;
ovrmou_Range;Continuous;
ovrrev_Mean;Continuous;
ovrrev_Range;Continuous;
peak_dat_Mean;Continuous;
peak_dat_Range;Continuous;
peak_vce_Mean;Continuous;
peak_vce_Range;Continuous;
plcd_dat_Mean;Continuous;
plcd_dat_Range;Continuous;
plcd_vce_Mean;Continuous;
plcd_vce_Range;Continuous;
recv_sms_Mean;Continuous;
recv_sms_Range;Continuous;
recv_vce_Mean;Continuous;
recv_vce_Range;Continuous;
retdays;Continuous;
rev_Mean;Continuous;
rev_Range;Continuous;
rmcalls;Continuous;
rmmou;Continuous;
rmrev;Continuous;
roam_Mean;Continuous;
roam_Range;Continuous;
threeway_Mean;Continuous;
threeway_Range;Continuous;
totcalls;Continuous;
totmou;Continuous;
totmrc_Mean;Continuous;
totmrc_Range;Continuous;
totrev;Continuous;
unan_dat_Mean;Continuous;
unan_dat_Range;Continuous;
unan_vce_Mean;Continuous;
unan_vce_Range;Continuous;
vceovr_Mean;Continuous;
vceovr_Range;Continuous;
