;0;1;MeanDecreaseAccuracy;MeanDecreaseGini
eqpdays;0,012368895;0,004263137;0,008347082;590,6722657
months;0,012272785;-0,001290022;0,005541838;439,7622748
mou_Mean;0,002523372;0,001845739;0,002187765;285,1229794
hnd_price;0,005020858;-0,000950896;0,002056451;383,4817546
totmrc_Mean;0,004619129;-0,000875396;0,001890318;229,7508895
change_mou;0,002247135;0,001268755;0,00176214;350,7206883
adjrev;0,004494189;-0,001320054;0,001610355;295,3498728
totrev;0,004572915;-0,001468353;0,001574225;285,8775406
avg3mou;0,002335537;0,000482132;0,001413905;246,8239134
mou_opkv_Mean;0,002450289;0,000122881;0,001294819;227,9349088
last_swap;0,002400872;7,42E-05;0,001246277;109,3798054
mou_Range;0,002069959;0,00036032;0,001221367;290,9436995
mou_cvce_Mean;0,002176195;0,000232362;0,001209606;228,0384465
totcalls;0,004556896;-0,002311455;0,001148451;254,7848349
mou_peav_Mean;0,002302494;-4,90E-05;0,001134483;219,4961955
ovrrev_Mean;0,002131402;4,13E-05;0,001093821;148,5570699
avgqty;0,004845882;-0,002716273;0,001093221;264,4966985
totmou;0,003600176;-0,001449614;0,001092321;250,25196
adjqty;0,00408121;-0,001995888;0,001068974;254,2288247
comp_vce_Mean;0,0029422;-0,000870257;0,001051686;185,0172709
complete_Mean;0,003456237;-0,001390249;0,001048845;186,633514
opk_vce_Mean;0,002512411;-0,000459184;0,001036701;197,1814654
rev_Mean;0,003112898;-0,001119601;0,00101409;251,8606746
rev_Range;0,002507857;-0,000507601;0,001011341;244,3379182
attempt_Mean;0,002156134;-0,000152364;0,00101064;183,7481131
avg3qty;0,002029419;-7,74E-05;0,00098335;225,2843084
adjmou;0,00417538;-0,002272078;0,000977754;249,6038198
ovrmou_Mean;0,001271244;0,000632621;0,000955578;150,1736137
phones;0,00347954;-0,001667306;0,000925232;107,7655634
vceovr_Mean;0,00189373;-0,000103005;0,000902286;142,6409531
mou_rvce_Mean;0,001747933;4,16E-05;0,000900739;203,3873091
avgrev;0,002907652;-0,001140639;0,000900078;271,6636792
peak_vce_Mean;0,002043218;-0,000285389;0,000886924;198,6088921
ovrrev_Range;0,002222028;-0,000476022;0,000881839;148,7935564
ovrmou_Range;0,002093828;-0,000383373;0,000863833;148,5766467
avgmou;0,003729672;-0,002074491;0,000848736;256,3710374
plcd_vce_Mean;0,002605563;-0,000943237;0,000845151;183,1738755
area;0,002134803;-0,000555945;0,000798337;1163,21358
pre_hnd_price;0,002793647;-0,001233556;0,000796998;227,6002933
models;0,003300456;-0,001754295;0,000794028;69,66456337
hnd_webcap;0,001536226;-2,00E-05;0,000765966;69,05879705
vceovr_Range;0,002240362;-0,000741427;0,000759658;138,9059073
mou_peav_Range;0,001267246;0,000198367;0,000737224;224,7377364
mou_cvce_Range;0,001246559;0,000181101;0,000716983;225,638039
avg6mou;0,001972638;-0,000577268;0,000707983;227,1498089
change_rev;0,001670296;-0,000281268;0,000702003;270,2564493
avg6qty;0,002789979;-0,001457357;0,000683078;216,3547688
attempt_Range;0,002396011;-0,001078435;0,000671432;194,3373129
avg3rev;0,002095376;-0,000813679;0,000651035;204,5383936
peak_vce_Range;0,001602339;-0,000323714;0,000646409;200,0427164
mouowylisv_Mean;0,00182204;-0,000550087;0,00064594;207,6343924
plcd_vce_Range;0,002681692;-0,001441163;0,000636351;197,144349
owylis_vce_Mean;0,002113858;-0,000882606;0,000626564;190,2433087
ethnic;0,001203133;2,67E-05;0,000618722;535,4792889
unan_vce_Mean;0,001499712;-0,00027295;0,000617634;197,7704311
mou_opkv_Range;0,001009614;0,000186646;0,000600723;223,131231
totmrc_Range;0,000708327;0,000448977;0,000579002;119,6068788
avg6rev;0,001944936;-0,000817276;0,000575707;213,426269
mouiwylisv_Mean;0,001060341;6,93E-05;0,000566426;175,5680535
mou_rvce_Range;0,00088072;0,000237515;0,000561028;211,5681339
recv_vce_Mean;0,00162085;-0,000547653;0,000545489;182,2668621
inonemin_Mean;0,001495923;-0,000427824;0,000542406;182,0239563
drop_blk_Mean;0,001048947;1,23E-05;0,000534738;187,2013618
recv_vce_Range;0,001672152;-0,000636397;0,000527542;186,541854
iwylis_vce_Mean;0,000882576;0,000144784;0,000515593;150,9659504
comp_vce_Range;0,001720607;-0,000747286;0,000496857;188,939275
lor;0,002479414;-0,001515742;0,000496445;746,5151911
mouowylisv_Range;0,001238516;-0,000292323;0,000479383;213,0700687
complete_Range;0,00164534;-0,000716596;0,000473938;190,5353573
opk_vce_Range;0,001498418;-0,000613139;0,000449426;192,5356369
owylis_vce_Range;0,000949718;-9,79E-05;0,000430286;166,129755
uniqsubs;0,000820215;-1,59E-05;0,000404985;98,80719575
asl_flag;0,000956667;-0,00018229;0,000391398;28,52177222
mouiwylisv_Range;0,001362434;-0,000627813;0,000372131;175,3687538
