Variable;MeanDecreaseAccuracy
eqpdays;0,006785784
months;0,00405233
mou_Mean;0,00201952
totmrc_Mean;0,001645498
last_swap;0,00133727
hnd_price;0,001307285
adjrev;0,001196713
change_mou;0,001176413
mou_cvce_Mean;0,001172079
avg3mou;0,001116562
totrev;0,001108949
mou_Range;0,00099365
mou_opkv_Mean;0,000981897
totcalls;0,000871303
phones;0,000866876
avg3qty;0,00082366
complete_Mean;0,000813627
peak_vce_Mean;0,000813561
comp_vce_Mean;0,000804544
totmou;0,000794947
opk_vce_Mean;0,000785366
mou_peav_Mean;0,000772835
adjqty;0,000754963
avgqty;0,000742738
adjmou;0,000739007
rev_Mean;0,000711231
ovrmou_Range;0,000697119
rev_Range;0,000663151
ovrmou_Mean;0,000653545
plcd_vce_Mean;0,000643668
attempt_Mean;0,000628493
mou_rvce_Mean;0,000611483
models;0,000610129
pre_hnd_price;0,000600274
ovrrev_Mean;0,000593473
avgrev;0,000593048
ovrrev_Range;0,000570173
ethnic;0,000563765
avg6mou;0,000561791
avg6rev;0,000547617
mouowylisv_Mean;0,000524286
peak_vce_Range;0,000517021
vceovr_Range;0,00050274
totmrc_Range;0,000499568
unan_vce_Mean;0,000496974
mou_peav_Range;0,000495694
vceovr_Mean;0,000483886
recv_vce_Mean;0,000480102
mouiwylisv_Mean;0,000478175
avg6qty;0,000469787
avg3rev;0,00046528
owylis_vce_Mean;0,000459458
mou_rvce_Range;0,000429851
attempt_Range;0,000429248
avgmou;0,000426599
change_rev;0,000422263
comp_vce_Range;0,000406666
hnd_webcap;0,000402843
complete_Range;0,000396866
inonemin_Mean;0,000394647
drop_blk_Mean;0,00037838
mouiwylisv_Range;0,000368546
mouowylisv_Range;0,0003681
mou_cvce_Range;0,000357178
area;0,000355538
mou_opkv_Range;0,000354558
recv_vce_Range;0,000351315
plcd_vce_Range;0,000343971
opk_vce_Range;0,000322689
drop_blk_Range;0,0002938
retdays_factor;0,000286227
owylis_vce_Range;0,000279324
retdays_bool;0,000275233
lor;0,000258347
cc_mou_Range;0,000255811
asl_flag;0,00025053
tot_ret;0,000246496
drop_vce_Mean;0,000245852
inonemin_Range;0,00024525
cc_mou_Mean;0,000241995
iwylis_vce_Mean;0,000241042
tot_acpt;0,000237054
drop_vce_Range;0,00022015
ccrndmou_Range;0,000216897
uniqsubs;0,00018348
callwait_Mean;0,00018261
unan_vce_Range;0,000177966
custcare_Mean;0,000177579
ccrndmou_Mean;0,000159675
csaCities;0,000155515
blck_vce_Range;0,000134511
actvsubs;0,00012972
blck_vce_Mean;0,000113102
custcare_Range;0,000106887
iwylis_vce_Range;0,000106427
dualband;0,000106077
age1;9,84E-05
roam_Mean;9,35E-05
refurb_new;8,91E-05
roam_Range;8,41E-05
callwait_Range;7,17E-05
HHstatin;7,00E-05
dwllsize;6,50E-05
prizm_social_one;6,43E-05
ownrent;6,35E-05
crclscod;6,24E-05
income;5,43E-05
age1_bool;5,23E-05
dwlltype;4,88E-05
age2;4,36E-05
proptype;4,09E-05
div_type;3,81E-05
occu1;3,60E-05
creditcd;3,10E-05
kid16_17;3,08E-05
mou_pead_Range;2,73E-05
mou_cdat_Range;2,72E-05
mou_opkd_Mean;2,29E-05
threeway_Range;2,08E-05
educ1;2,08E-05
mailordr;1,89E-05
datovr_Mean;1,84E-05
da_Range;1,82E-05
threeway_Mean;1,72E-05
datovr_Range;1,62E-05
rmmouNA;1,61E-05
mou_cdat_Mean;1,46E-05
plcd_dat_Mean;1,22E-05
wrkwoman;1,03E-05
plcd_dat_Range;1,01E-05
kid0_2;8,84E-06
infobase;7,11E-06
REF_QTY;6,24E-06
rmrevNA;6,14E-06
mtrcycle;5,02E-06
kid11_15;4,62E-06
comp_dat_Range;4,48E-06
opk_dat_Mean;4,26E-06
pcowner;3,72E-06
kid3_5;3,72E-06
rmcallsNA;3,69E-06
drop_dat_Range;2,25E-06
unan_dat_Mean;2,11E-06
marital;2,09E-06
comp_dat_Mean;1,64E-06
forgntvl;1,44E-06
recv_sms_Range;1,14E-06
blck_dat_Range;9,68E-07
age2_bool;2,24E-07
peak_dat_Mean;-3,18E-07
callfwdv_Range;-3,19E-07
solflag;-3,28E-07
children;-5,09E-07
da_Mean;-1,16E-06
callfwdv_Mean;-1,29E-06
crtcount;-1,86E-06
car_buy;-2,08E-06
blck_dat_Mean;-2,09E-06
mailflag;-2,43E-06
peak_dat_Range;-2,47E-06
mou_pead_Mean;-2,72E-06
drop_dat_Mean;-2,93E-06
opk_dat_Range;-3,28E-06
recv_sms_Mean;-3,56E-06
truck;-3,70E-06
REF_QTY_bool;-4,95E-06
kid6_10;-5,47E-06
unan_dat_Range;-6,03E-06
rv;-1,17E-05
mailresp;-1,19E-05
mou_opkd_Range;-1,36E-05
adults;-1,57E-05
new_cell;-1,68E-05
cartype;-2,32E-05
numbcars;-5,17E-05
