"Customer_ID";"churn";"eqpdays";"months";"mou_Mean";"totmrc_Mean";"last_swap";"hnd_price";"adjrev";"change_mou";"mou_cvce_Mean";"avg3mou";"totrev";"mou_Range";"mou_opkv_Mean";"totcalls";"phones";"avg3qty";"complete_Mean";"peak_vce_Mean";"comp_vce_Mean";"totmou";"opk_vce_Mean";"mou_peav_Mean";"adjqty";"avgqty";"adjmou";"rev_Mean";"ovrmou_Range";"rev_Range";"ovrmou_Mean";"plcd_vce_Mean";"csa"
"1000005";"0";434;57;570,5;71,98;"(495,1.65e+03]";"149.989990234375";2166,48;38,5;285,233333333333;558;2181,12;96;218,086666666667;4485;"6";191;137;97,3333333333333;137;14028;90,3333333333333;173,476666666667;4452;79,5;13965;55,23;0;0;0;222,333333333333;"NNYSYR315"
"1000013";"0";388;55;1056,25;75;"(495,1.65e+03]";"199.989990234375";4181,91;42,75;0;1042;4270,87;233;0;31584;"9";625;0;0;0;51857,07;0;0;31397;592,4;51553,07;81;0;5,75;0;0;"PITHOM412"
"1000016";"0";697;55;270,5;37,48;"(495,1.65e+03]";"79.989990234375";2303,38;201,5;117,846666666667;203;2311,08;369;38,1433333333333;7586;"5";106;55,3333333333333;62,3333333333333;55,3333333333333;15226,03;18;136,796666666667;7560;142,64;15180,03;42,565;24;5,46;6;67,6666666666667;"OKCOKC405"
"1000022";"1";162;54;1424,5;56,25;"(214,336]";"129.989990234375";5935,58;-1134,5;44,04;1803;6005,39;1698;291,373333333333;79038;"13";1290;33,3333333333333;459,666666666667;33,3333333333333;117808,04;174,666666666667;692,016666666667;78664;1512,77;117230,04;60,185;0;74,24;0;47,3333333333333;"SEAPOR503"
"1000028";"0";452;58;971,75;35,99;"(336,495]";"149.989990234375";1906,69;25,25;509,8;963;1944,11;219;386,973333333333;8893;"2";376;297,666666666667;206,333333333333;297,666666666667;16916;170,333333333333;367,47;8887;193,2;16904;37,6625;15;4,5;4,75;343;"PITHOM412"
"1000030";"0";319;52;34,5;29,99;"(495,1.65e+03]";"59.989990234375";2152,22;32,5;16,1133333333333;24;2204,39;58;0;3745;"2";13;13,3333333333333;14,3333333333333;13,3333333333333;6020;0;16,6333333333333;3703;74,06;5959;30,26;0;0,539999999999999;0;14;"SANMCA210"
"1000037";"0";630;56;155,75;30;"(495,1.65e+03]";"149.989990234375";1517,47;94,25;80,7566666666667;124;1518,34;134;10,9566666666667;2139;"5";78;64,3333333333333;61,6666666666667;64,3333333333333;3827;14,6666666666667;83,6866666666667;2139;40,36;3827;30;0;0;0;71,3333333333333;"KCYKCM816"
"1000048";"1";151;53;851,5;85;"(214,336]";"9.98999786376953";3127,38;-205,5;227,116666666667;920;3187,88;371;165,946666666667;14937;"8";337;138,333333333333;200,666666666667;138,333333333333;32772;74;365,963333333333;14853;297,06;32612;78,2875;0;0,150000000000006;0;193,666666666667;"SANMCA210"
"1000056";"1";977;53;100,25;50;"(495,1.65e+03]";"29.989990234375";2883,76;5,75;69,87;98;3252,01;116;28,9633333333333;11923;"4";32;28,3333333333333;19,3333333333333;28,3333333333333;21968,1166666667;10;48,7066666666667;11720;229,8;21572,12;50,5625;0;1,2;0;71,3333333333333;"SANAUS512"
"1000059";"1";1023;55;35,5;44,99;"(495,1.65e+03]";"29.989990234375";2377,51;0,5;22,77;35;2415,79;70;11,2333333333333;3794;"2";10;6,33333333333333;5;6,33333333333333;8925,07;2,33333333333333;12,7666666666667;3781;71,34;8908,07;36,8375;0;5,08;0;8,66666666666667;"SLCPRO801"
